‫‪serialNum‬‬,url‬‬,name‬‬,year‬‬,producer‬‬,actors‬‬,genres‬‬
45789,http://www.torec.net/sub.asp?sub_id=45789,פלורידה   /  Floride, 2015,"","", דרמה / קומדיה
45788,http://www.torec.net/sub.asp?sub_id=45788,ראצ'ט וקלאנק   /  Ratchet And Clank, 2016," קווין מונרו, ג'ריקה קלנד","ג'יימס ארנולד טיילור, רוסריו דוסון, ג'ון גודמן, סילבסטר סטאלון, פול ג'יאמטי, לי טוקאר, אלסנדרו ג'וליאני", אנימציה / הרפתקאות / מדע בדיוני / פעולה / קומדיה
45787,http://www.torec.net/sub.asp?sub_id=45787,רובינזון קרוזו   /  Robinson Crusoe, 2016,"","", אנימציה / הרפתקאות / קומדיה
45776,http://www.torec.net/sub.asp?sub_id=45776,טום סוייר והאקלברי פין   /  Tom Sawyer & Huckleberry Finn, 2014, ,"ג'ואל קורטני, ג'ייק ט. אוסטין, נואה מונק, ואל קילמר", הרפתקאות / דרמה
45762,http://www.torec.net/sub.asp?sub_id=45762,"בלשים בע""מ   /  The Nice Guys", 2016, שיין בלאק,"ריאן גוסלינג, ראסל קרואו, קים בייסינגר, קית' דיוויד, יוון זימה, יאיה דקוסטה, מאט בומר", פעולה / פשע / קומדיה
44154,http://www.torec.net/sub.asp?sub_id=44154,ספר הג'ונגל   /  The Jungle Book, 2016, ג'ון פאברו,"ביל מארי, סקרלט ג'והנסון, כריסטופר ווקן, בן קינגסלי, אידריס אלבה, אלן טראוטמן, שרה ארינגטון", דרמה / הרפתקאות / פנטזיה / ילדים
45769,http://www.torec.net/sub.asp?sub_id=45769,גחלת   /  Embers, 2015, קלייר קארה,"ג'ייסון ריטר, איבה גוצ'בה, גרטה פרננדז", דרמה / מדע בדיוני
45764,http://www.torec.net/sub.asp?sub_id=45764,ג'ייסון בורן   /  Jason Bourne, 2016, פול גרינגראס,"וינסנט קאסל, טומי לי ג'ונס, מאט דיימון, ג'וליה סטיילס, אטו אסנדו, ריז אחמד, סטפן קונקן", מתח / פעולה
45763,http://www.torec.net/sub.asp?sub_id=45763,מרו - לכבוש את הפסגה   /  Meru, 2015,"","", דוקומנטרי / הרפתקאות / מתח / ספורט
44573,http://www.torec.net/sub.asp?sub_id=44573,פלה: לידתה של אגדה   /  Pele: Birth Of A Legend, 2016,"","", ביוגרפיה / דרמה / ספורט
